"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cfg_file","dataset.dataset_name","target_sparse_config.use_pyramidkv","dataset.num_samples","dataset.seq_len","dataset.task","device","draft_model.attn_implementation","draft_model.dtype","draft_model.model_name_or_path","target_model.attn_implementation","target_model.dtype","target_model.model_name_or_path","target_sparse_config.kernel_size","target_sparse_config.max_capacity_prompt","target_sparse_config.query_aggregation","target_sparse_config.sparse_type","target_sparse_config.window_size","draft_model.num_eval_tokens","target_sparse_config.num_vertical","target_sparse_config.pooling","target_sparse_config.prefill_window_size","skip_cache","target_sparse_config.gqa_attn","target_sparse_config.use_h2o","draft_input_ratio","draft_nulls","draft_score","draft_score_all","perf/draft/compressed_input_size","perf/draft/compressed_input_size_mean","perf/draft/full_input_size","perf/draft/full_input_size_mean","perf/draft/input_length","perf/draft/input_length_mean","perf/draft/input_ratio","perf/draft/input_ratio_mean","perf/draft/mem_gb_after/generate","perf/draft/mem_gb_before/generate","perf/draft/output_length","perf/draft/output_length_mean","perf/draft/time/generate","perf/target/compressed_input_size","perf/target/full_input_size","perf/target/full_input_size_mean","perf/target/input_length","perf/target/output_length_mean","perf/target/time/generate","target_input_ratio","target_nulls","target_score","target_score_all","perf/target/mem_gb_before/generate/prefill_decode"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00063","finished","-","","","2025-04-25T08:44:57.000Z","3781","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00063.yaml","longbench","","","","repobench-p","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","4998","10931.618","4998","63.804","","0.0001294151394040892","","43.63","0.57","27.698221683502197"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00062","finished","-","","","2025-04-25T08:43:49.000Z","2329","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00062.yaml","longbench","","","","lcc","1","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","1483","3225.888","1483","64","","0.00042873867200585424","","57.33","1","27.698173999786377"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00061","finished","-","","","2025-04-25T08:43:22.000Z","1035","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00061.yaml","longbench","","","","passage_retrieval_en","5","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","14443","12944.12","14443","11.925","","0.00007794958984045504","","98.5","1","27.6671838760376"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00060","finished","-","","","2025-04-25T08:41:11.000Z","1426","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00060.yaml","longbench","","","","passage_count","2","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","9261","15440.69","9261","26.185","","0.00007304470930019384","","6.1","0","27.66723585128784"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00059","finished","-","","","2025-04-25T08:32:06.000Z","2111","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00059.yaml","longbench","","","","samsum","6","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","15779","9196.89","15779","127.425","","0.00015764750686920445","","27.99","0.47619047120181407","27.734581470489506"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00058","finished","-","","","2025-04-25T08:24:40.000Z","1216","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00058.yaml","longbench","","","","triviaqa","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","3056","12208.04","3056","29.74","","0.00012263656266205122","","85.36","1","27.68017292022705"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00057","finished","-","","","2025-04-25T08:21:41.000Z","1168","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00057.yaml","longbench","","","","trec","2","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","4440","6843.935","4440","64","","0.00018398760766529575","","62","0","27.69822597503662"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00056","finished","-","","","2025-04-25T08:17:39.000Z","4915","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00056.yaml","longbench","","","","multi_news","9","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","332","2715.675","332","411.175","","0.000607490545145527","","19.18","0.200836815746223","27.9026780128479"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00055","finished","-","","","2025-04-25T08:16:31.000Z","2143","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00055.yaml","longbench","","","","qmsum","0","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","8265","13975.69","8265","95.935","","0.00008761203814127868","","21.84","0.23999999507200007","27.735730171203613"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00054","finished","-","","","2025-04-25T08:13:45.000Z","5202","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00054.yaml","longbench","","","","gov_report","3","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","6628","10652.425","6628","383.75","","0.00013064313532651164","","22.23","0.24285713794603184","27.88070011138916"
